sentiment,text,label
neutral,technopolis plan develop stage area less square meter order host company working computer technology telecommunication statement said,1
negative,international electronic industry company elcoteq laid ten employee tallinn facility contrary earlier layoff company contracted rank office worker daily postimees reported,0
positive,new production plant company would increase capacity meet expected increase demand would improve use raw material therefore increase production profitability,2
positive,according company updated strategy year basware target longterm net sale growth range operating profit margin net sale,2
positive,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit board pcbs,2
positive,last quarter componenta net sale doubled eurm eurm period year earlier moved zero pretax profit pretax loss eurm,2
positive,third quarter net sale increased eur mn operating profit eur mn,2
positive,operating profit rose eur mn eur mn corresponding period representing net sale,2
positive,operating profit totalled eur mn eur mn representing net sale,2
positive,teliasonera tlsn said offer line strategy increase ownership core business holding would strengthen eesti telekom offering customer,2
positive,stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value share four largest nordic forestry group,2
positive,purchase agreement ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight u dollar per month,2
positive,finnish talentum report operating profit increased eur mn eur mn net sale totaled eur mn eur mn,2
positive,clothing retail chain seppl sale increased eur mn operating profit rose eur mn eur mn,2
positive,consolidated net sale increased reach eur operating profit amounted eur compared loss eur prior year period,2
positive,foundry division report sale increased eur mn eur mn corresponding period sale machine shop division increased eur mn eur mn corresponding period,2
positive,helsinki afx share closed higher led nokia announced plan team sanyo manufacture g handset nokian tyre fourthquarter earnings report beat analyst expectation dealer said,2
positive,incap contract manufacturing service pvt ltd subsidiary incap corporation finland plan double revenue,2
positive,board director propose dividend eur per share eur per share paid,2
positive,lifetree founded revenue risen average margin late,2
positive,filippova trilateral agreement investment construction technology park st petersburg signed course forum day russian economy opened helsinki today,2
positive,megafon subscriber base increased million user december market share number customer amounted late late according teliasonera estimate,2
positive,net income life insurance doubled eur mn eur mn net income nonlife insurance rose eur mn eur mn corresponding period,2
positive,net sale increased eur eur pretax profit rose eur eur usd,2
positive,net sale surged eur teleste said eur sale came acquisition made,2
positive,nordea group operating profit increased percent yearonyear billion euro total revenue percent billion euro,2
positive,operating profit ninemonth period increased eur net sale increased eur compared corresponding period,2
positive,operating profit ninemonth period increased eur net sale increased eur compared corresponding period,2
positive,operating profit threemonth period increased eur revenue increased eur compared corresponding period,2
positive,brazilian unit finnish security solution provider fsecure signed new client last year online news source reseller web quoted division commercial director vladimir brando saying,2
positive,company net profit rose year million euro sale million euro year company said earlier,2
positive,lithuanian beer market made million liter january rise percent yearearlier figure lithuanian brewer association reporting citing result member,2
positive,viking line cargo revenue increased eur mn cargo volume increased cargo unit,2
positive,fair value property portfolio doubled result kapiteeli acquisition totalled eur million,2
positive,february finnish medium company sanoma oyj hel saav said yesterday net profit almost tripled eur eur announced proposal raised payout,2
positive,helsinki eliiv today reported eps eur increase eps eur,2
positive,aspo plc stock exchange release february esl shipping ltd part aspo group signed new longterm contract rautaruukki corporation marine transport raw material baltic sea,2
positive,commission income increased eur mn lending volume rose,2
positive,january traffic measured revenue passenger kilometre rpk went capacity measured available seat kilometre ask rose,2
positive,januaryseptember fiskars net profit went yearonyear eur million net sale eur million eur million,2
positive,net income life insurance rose eur mn eur mn net income nonlife insurance eur mn eur mn,2
positive,nyrstar also agreed supply talvivaara tonne sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate,2
positive,sale department store division hobby hall increased sale clothing store subsidiary seppala decreased,2
positive,sale risen export market,2
positive,sale increased due growing market rate increased operation,2
positive,agreement strengthens longterm partnership nokia siemens network,2
positive,agreement signed biohit healthcare ltd ukbased subsidiary biohit oyj finnish public company develops manufacture market liquid handling product diagnostic test system,2
positive,company also estimate already carried investment lead increase net sale reached eur million,2
positive,company order book stood bln euro bln september pct year international order amounting mln euro mln,2
positive,company said paper demand increased main market including publication paper increased average paper price percent compared last year,2
positive,world second largest stainless steel maker said net profit threemonth period dec surged euro million u million euro u per share euro million euro per share previous year,2
